h,beta,se,lo90,hi90,lo95,hi95
0,0.007927311140748875,0.004979059569735272,-0.0002632418514656471,0.0161178641329634,-0.0018316456159322581,0.01768626789743001
1,-0.0006476178324509611,0.007776422228540087,-0.013439832398399403,0.012144596733497482,-0.015889405400389533,0.014594169735487609
2,0.005400381263022688,0.009127789852806692,-0.00961483304484432,0.0204155955708897,-0.012490086848478429,0.023290849374523803
3,0.017988963874770236,0.0136235220817143,-0.004421729949649789,0.04039965769919026,-0.00871313940538979,0.044691067154930264
4,0.03119705932248636,0.015147536808505927,0.006279361272494111,0.056114757372478605,0.001507887177814745,0.06088623146715798
5,0.04009011056666317,0.01657264769280867,0.012828105111992907,0.06735211602133344,0.007607721088758179,0.07257250004456817
6,0.04184714448528377,0.019057174201201416,0.010498092924307437,0.0731961960462601,0.004495083050928994,0.07919920591963854
7,0.0465080740471162,0.02248180077821112,0.009525511766958913,0.08349063632727349,0.0024437445218224094,0.09057240357241
8,0.04404191224671039,0.02201925892883972,0.007820231308769049,0.08026359318465173,0.0008841647461845376,0.08719965974723624
9,0.042667885234463944,0.023511368656048175,0.003991683795264697,0.08134408667366319,-0.003414397331390477,0.08875016780031836
10,0.043378188985534014,0.026447621701327282,-0.0001281487131493675,0.0868845266842174,-0.008459149549067457,0.09521552752013548
11,0.03773064568800814,0.028691136849268148,-0.009466274429037969,0.08492756580505424,-0.018503982536557433,0.0939652739125737
12,0.03776225656349629,0.03224472742835258,-0.015280320056143708,0.09080483318313629,-0.02543740919607477,0.10096192232306736
13,0.03812615130413467,0.036391150062578474,-0.021737290548806916,0.09798959315707625,-0.033200502818519134,0.10945280542678848
14,0.04192714101332235,0.04116807235377604,-0.025794338008639235,0.10964862003528394,-0.03876228080007869,0.1226165628267234
15,0.05331599523227249,0.046162079139465025,-0.02262062495214747,0.12925261541669245,-0.037161679881078956,0.14379367034562393
16,0.0701877858460771,0.05169108946720385,-0.014844056327473237,0.15521962801962744,-0.031126749509642435,0.17150232120179665
17,0.08750289676121212,0.05575441683936109,-0.004213118939536881,0.17921891246196112,-0.021775760243935613,0.19678155376635986
18,0.10130565426567154,0.0584678511910253,0.005126039056434911,0.19748526947490816,-0.013291334068738059,0.21590264260008113
19,0.11191169772983095,0.060233195171687806,0.012828091672404507,0.2109953037872574,-0.006145364806677142,0.22996876026633906
20,0.11639580419501433,0.060848002339270776,0.016300840346913897,0.21649076804311476,-0.0028662803899563855,0.23565788877998506
21,0.12445410059611171,0.06124623727148516,0.023704040284518627,0.2252041609077048,0.004411475544000801,0.2444967256482226
22,0.13207077298368183,0.0617799334015011,0.03044278253821253,0.23369876342915114,0.010982103516739686,0.253159442450624
23,0.13761394246064648,0.06174538154282663,0.036042789822696666,0.2391850950985963,0.016592994636706285,0.2586348902845867
24,0.13860972622085307,0.06295616221147142,0.035046839382982586,0.24217261305872356,0.015215648286369093,0.2620038041553371
