h,beta,se,lo90,hi90,lo95,hi95
0,0.1526333253378772,0.04593622531978604,0.07706823468682918,0.22819841598892526,0.06259832371109657,0.24266832696465784
1,-0.22427869683860782,0.1056202120203417,-0.39802394561206994,-0.0505334480651457,-0.4312943123984776,-0.017263081278738074
2,-0.5381442575210664,0.07753777050828078,-0.6656938900071883,-0.41059462503494454,-0.6901182877172968,-0.3861702273248361
3,-0.23538837735154444,0.06970312810703912,-0.3500500230876238,-0.1207267316154651,-0.3720065084413411,-0.09877024626174777
4,-0.1349526501509197,0.0715938544786595,-0.2527245407683146,-0.017180759533524825,-0.27527660492909234,0.00537130462725291
5,-0.24200574763333435,0.12332227534013732,-0.4448708905678602,-0.03914060469880845,-0.48371740730000345,-0.0002940879666652185
6,-0.3573196982790355,0.17121507070785766,-0.6389684895934613,-0.07567090696460965,-0.6929012368664365,-0.02173815969163445
7,-0.28037228780938644,0.13403128787601226,-0.5008537563654266,-0.05989081925334627,-0.5430736120463704,-0.017670963572402443
8,-0.579541198882542,0.0743726283399911,-0.7018841725018273,-0.4571982252632566,-0.7253115504289245,-0.43377084733615945
9,-0.5035133663718682,0.0787886606283188,-0.6331207131054526,-0.37390601963828374,-0.657939141203373,-0.34908759154036334
10,-0.4550601781963394,0.15443415313844494,-0.7091043601090814,-0.2010159962835975,-0.7577511183476915,-0.15236923804498737
11,-0.49431467131556606,0.14165600979799348,-0.7273388074332653,-0.2612905351978668,-0.7719604505196332,-0.21666889211149887
12,-0.5586631156836702,0.15744920838970358,-0.8176670634847326,-0.2996591678826078,-0.8672635641274893,-0.2500626672398512
13,-0.5796429153038888,0.1565864184020322,-0.8372275735752317,-0.3220582570325458,-0.8865522953718719,-0.2727335352359057
14,-0.433902753474416,0.2064445531260793,-0.7735040433668164,-0.09430146358201552,-0.8385340776015313,-0.029271429347300593
15,-0.3654108062448252,0.1918357344582779,-0.6809805894286923,-0.049841023060958056,-0.7414088457830499,0.0105872332933995
16,-0.217305139712547,0.12683561281561667,-0.42594972279423643,-0.008660556630857574,-0.4659029408311557,0.031292661406061684
17,-0.14345502852490516,0.13269316366857362,-0.3617352827597088,0.07482522570989844,-0.40353362931530945,0.11662357226549913
18,-0.14131024488850055,0.07378113304476144,-0.26268020874713316,-0.019940281029867973,-0.285921265656233,0.0033007758792318875
19,-0.17676693515368785,0.14739685491456236,-0.419234761488143,0.06570089118076725,-0.4656647707862301,0.11213090047885438
20,-0.13741277663989096,0.15181540941216717,-0.387149125122906,0.11232357184312405,-0.43497097908773863,0.16014542580795668
21,-0.09253128466807911,0.10018035239457068,-0.2573279643571479,0.07226539502098966,-0.28888477536143764,0.10382220602527942
22,-0.2047780144699069,0.1520299867717512,-0.4548673427094376,0.04531131376962383,-0.5027567885425392,0.09320075960272545
23,-0.12908542362092537,0.11159513074128558,-0.3126594136903401,0.0544885664484894,-0.3478118798738451,0.08964103263199436
24,-0.3129874092774338,0.19950884604317204,-0.6411794610184518,0.015204642463584217,-0.7040247475220509,0.07804992896718338
