horizon,model,RMSE,rel_RW,DM_vs_RW,DM_p,n
1,RW,0.018768201321394985,1.0,0.0,1.0,72
1,RWD,0.01882218920184024,1.0028765612389137,0.08412372679723679,0.9331948068762523,72
1,AR,0.0171647267541498,0.9145642920284913,-1.4800453089245222,0.14328497725520783,72
1,ECM,0.017157368730963928,0.9141722447001488,-1.5493595618877056,0.1257415624007987,72
1,GBM,0.01620963277573541,0.8636753463027429,-2.1316012766739756,0.0365017779223622,72
3,RW,0.0408566290380348,1.0,0.0,1.0,72
3,RWD,0.04089900538795979,1.0010371964335467,0.017189002683020087,0.9863340477637887,72
3,AR,0.038055793001095704,0.931447206906578,-1.5867572180200518,0.11701158544412316,72
3,ECM,0.038398220343940505,0.9398284011192976,-1.322492213456814,0.19024860512516528,72
3,GBM,0.045721835519879565,1.1190799778737395,1.2754134160346895,0.2063203354539136,72
12,RW,0.09379216338983674,1.0,0.0,1.0,72
12,RWD,0.09651183336800549,1.028996772010309,0.197341136371856,0.8441244546274613,72
12,AR,0.09630153801712883,1.0267546299882448,0.4031873489066359,0.6880220030787081,72
12,ECM,0.10019021017997579,1.0682151531524686,1.5381253693255192,0.1284629463884428,72
12,GBM,0.1531863337717639,1.6332530164067318,2.4520911148164664,0.0166637767907436,72
