scenario,year,vacancy,stock,real_rent_log,completions,occupied,norm_year
gdp_weak|pipe_halt,2026,0.17757481813584175,13606966.0,0.5736459166818703,61566.0,11190711.487169418,
gdp_weak|pipe_halt,2027,0.17715906217476984,13668532.0,0.48137963356231195,61566.0,11247027.689574169,
gdp_weak|pipe_halt,2028,0.1749560679059603,13730098.0,0.3896116912379622,61566.0,11327934.04195651,
gdp_weak|pipe_halt,2029,0.17117407131524143,13791664.0,0.3004843410362797,61566.0,11430888.722908152,
gdp_weak|pipe_halt,2030,0.1660250276816444,13853230.0,0.2158902347684561,61566.0,11553247.105769813,
gdp_weak|pipe_halt,2031,0.1597234757123206,13914796.0,0.13746796664413058,61566.0,11692276.419052104,
gdp_weak|pipe_halt,2032,0.15248523129130376,13976362.0,0.06659897667688658,61566.0,11845173.207819011,
gdp_weak|pipe_halt,2033,0.14452576607698175,14037928.0,0.004406019811810324,61566.0,12009085.701666487,
gdp_weak|pipe_halt,2034,0.13605819341194347,14099494.0,-0.04824642147265098,61566.0,12181142.318337463,
gdp_weak|pipe_halt,2035,0.1272908478446917,14161060.0,-0.09074931039831498,61566.0,12358486.66622045,
gdp_weak|pipe_base,2026,0.1861667701405887,13750620.0,0.5736459166818703,205220.0,11190711.487169418,
gdp_weak|pipe_base,2027,0.19393051060279254,13955840.0,0.4710809954299803,205220.0,11249376.822909124,
gdp_weak|pipe_base,2028,0.19942075659676872,14161060.0,0.3592101616765535,205220.0,11337050.700587763,
gdp_weak|pipe_base,2029,0.20278379764245358,14366280.0,0.24075851174559154,205220.0,11453031.183605172,
gdp_weak|pipe_base,2030,0.2041780825302285,14571500.0,0.11827579381814271,205220.0,11596319.070410775,
gdp_weak|pipe_base,2031,0.20377104428828152,14776720.0,-0.0058781666284262735,205220.0,11765652.334444465,
gdp_weak|pipe_base,2032,0.20173692054909764,14981940.0,-0.12954423566713863,205220.0,11959529.560548652,
gdp_weak|pipe_base,2033,0.1982552068714204,15187160.0,-0.25077212717708147,205220.0,12176226.452410638,
gdp_weak|pipe_base,2034,0.19350944356443966,15392380.0,-0.36782670519237526,205220.0,12413809.11106759,
gdp_weak|pipe_base,2035,0.1876860973122223,15597600.0,-0.47919283209280134,205220.0,12670147.328562882,
gdp_weak|pipe_heavy,2026,0.1921947814935998,13853230.0,0.5736459166818703,307830.0,11190711.487169418,
gdp_weak|pipe_heavy,2027,0.20549554625206057,14161060.0,0.4638555933853751,307830.0,11251025.239791796,
gdp_weak|pipe_heavy,2028,0.21601479939523027,14468890.0,0.33812247117019667,307830.0,11343395.629178347,
gdp_weak|pipe_heavy,2029,0.22389231428953238,14776720.0,0.19978057489715065,307830.0,11468325.96159158,
gdp_weak|pipe_heavy,2030,0.22928617710661314,15084550.0,0.05199639179177032,307830.0,11625871.197126439,
gdp_weak|pipe_heavy,2031,0.23236666448141174,15392380.0,-0.10225307897558292,307830.0,11815704.000969607,
gdp_weak|pipe_heavy,2032,0.23331227299381008,15700210.0,-0.26019493823937323,307830.0,12037158.318419853,
gdp_weak|pipe_heavy,2033,0.23230730057495652,16008040.0,-0.41927023957530996,307830.0,12289255.440104073,
gdp_weak|pipe_heavy,2034,0.229540470694516,16315870.0,-0.577140943019053,307830.0,12570717.520409467,
gdp_weak|pipe_heavy,2035,0.22520417805071713,16623700.0,-0.7316952196838016,307830.0,12879973.305338293,
gdp_base|pipe_halt,2026,0.17661278520602053,13606966.0,0.5736459166818703,61566.0,11203801.836536376,
gdp_base|pipe_halt,2027,0.17438395995484945,13668532.0,0.4825327625614197,61566.0,11284959.263070421,
gdp_base|pipe_halt,2028,0.1696201713373494,13730098.0,0.394091162554555,61566.0,11401196.424761401,
