year,vstar_A,vstar_B,vstar_C,vstar_TOT,vac_A,vac_B,vac_C,vac_TOT
1987,0.09202070183888586,0.10383318877970017,0.18310062243180783,0.16795096312771354,0.064,0.044,0.046,0.055
1988,0.09202070196247637,0.10383318855960494,0.16323456356060662,0.15267444509623812,0.035,0.018,0.017,0.027
1989,0.0920207015798059,0.1038331880533369,0.13758417781012067,0.13263981065624492,0.065,0.04,0.04,0.053
1990,0.09202070076410597,0.10383318726928148,0.08488652584809209,0.0953085116463329,0.047,0.079,0.071,0.061
1991,0.09202070027233637,0.10383318688656883,0.07037585252492325,0.08054688335573933,0.092,0.112,0.066,0.092
1992,0.09202070008564016,0.10383318663794486,0.06610316810871492,0.07703360851723173,0.102,0.101,0.074,0.097
1993,0.09202069993632925,0.10383318639635228,0.06283555428014316,0.07333112089865343,0.048,0.103,0.072,0.067
1994,0.09202069970287105,0.10383318614502193,0.05748825735257356,0.06557667828649755,0.102,0.102,0.08,0.098
1995,0.09202069927685469,0.10383318578655104,0.04034356722747486,0.04784252744662482,0.079,0.112,0.116,0.094
1996,0.09202069922738422,0.10383318569516703,0.045074963008884895,0.044135904069330836,0.083,0.146,0.158,0.112
1997,0.09202069945970756,0.10383318575558668,0.057052981479762795,0.04807966040865442,0.088,0.131,0.18,0.115
1998,0.0920206996871023,0.10383318577037906,0.05771285723452868,0.045744735384439655,0.153,0.155,0.187,0.159
1999,0.09202070039652184,0.10383318612173588,0.08031135709358714,0.06214217680370504,0.129,0.15,0.163,0.14
2000,0.092020701301632,0.10383318652994071,0.10141933219934804,0.08105529411950153,0.087,0.111,0.139,0.102
2001,0.0920207019925769,0.1038331868166352,0.10978824302669313,0.08765252948887223,0.087,0.131,0.158,0.111
2002,0.09202070274617648,0.10383318713627523,0.11967033143924896,0.09620674835281146,0.108,0.146,0.158,0.126
2003,0.09202070376052222,0.10383318749629583,0.13222000465727118,0.11311964552424052,0.137,0.138,0.152,0.14
2004,0.09202070492726075,0.10383318790873639,0.15222592536512236,0.13735168991282462,0.131,0.121,0.117,0.127
2005,0.09202070583874372,0.10383318813688806,0.15994314332422543,0.15172895543623782,0.081,0.092,0.105,0.087
2006,0.09202070621194264,0.10383318812872509,0.1571603331197577,0.148192258132629,0.076,0.067,0.093,0.077
2007,0.09202070638643532,0.10383318798949417,0.14827239765410674,0.1404822996651097,0.097,0.073,0.084,0.089
2008,0.09202070643246027,0.10383318778311773,0.13457749806147365,0.13093117285415995,0.089,0.069,0.086,0.084
2009,0.09202070627716423,0.10383318751819533,0.12209349056614377,0.11661555514309867,0.115,0.08,0.089,0.103
2010,0.09202070645716252,0.10383318744340386,0.12501777290863048,0.11945156470694009,0.085,0.071,0.073,0.08
2011,0.09202070646012055,0.10383318729733558,0.1173815734975167,0.11579861249669773,0.066,0.066,0.06,0.065
2012,0.09202070626789989,0.10383318714563235,0.11068826415448808,0.10763499455144096,0.061,0.061,0.054,0.06
2013,0.09202070605733464,0.1038331869938616,0.10436839515190502,0.10064382395332976,0.072,0.068,0.061,0.07
2014,0.0920207058596581,0.1038331868689181,0.09599019207718874,0.09512829729073248,0.064,0.058,0.062,0.063
2015,0.09202070570841402,0.10383318679515963,0.0902700665516251,0.09255400237029744,0.078,0.089,0.072,0.08
2016,0.09202070554279942,0.10383318674920249,0.08403622808723472,0.09013615328456773,0.08,0.094,0.07,0.082
2017,0.0920207053822728,0.10383318672648444,0.08019664627470503,0.08840431353007945,0.096,0.104,0.07,
2018,0.09202070517439177,0.10383318669940113,0.07350355099480348,,0.087,0.09,0.072,0.086
2019,0.09202070492381469,0.10383318665392688,0.06620191430071545,0.08452600610400707,0.09,0.097,0.075,0.09
2020,0.09202070471444684,0.10383318665513322,0.06324347841083035,0.0823646738267596,0.118,0.119,0.094,0.115
2021,0.09202070469850301,0.10383318676801884,0.06663800337887896,0.08810299669745249,0.125,0.131,0.093,0.123
2022,0.0920207046815738,0.10383318685909734,0.0651740492825387,0.0920926744500411,0.151,0.151,0.088,0.144
2023,0.09202070469878923,0.10383318695462979,0.06467051435422749,0.0966850127397108,0.16,0.149,0.09,0.149
2024,0.09202070470483549,0.10383318699278717,0.06188443436936129,0.09890886358144697,0.174,0.156,0.11,0.163
2025,0.09202070472579328,0.10383318703475726,0.06496268764533232,0.10152433005341058,0.184,0.174,0.129,0.176
1986,,,,0.17305627765172182,0.031,0.096,0.084,0.06
